CD Rank,Colleges
B.Tech Electrical and Electronics Engineering,N/A
#5,"Krishna Engineering College - [KEC], Ghaziabad"
#6,"Meerut Institute of Engineering and Technology - [MIET], Meerut"
#7,"Raj Kumar Goel Institute of Technology - [RKGIT], Ghaziabad"
B.Tech Electrical and Electronics Engineering,N/A
#8,"Shri Ramswaroop Memorial University - [SRMU], Lucknow"
#9,"Mahaveer Institute of Engineering & Technology - [MIET], Meerut"
#10,"IMS Engineering College - [IMSEC], Ghaziabad"
B.Tech Computer Science and Design,N/A
#1,"JSS Academy of Technical Education - [JSSATE], Noida"
#2,"Pranveer Singh Institute of Technology - [PSIT], Kanpur"
#3,"Rama University, Kanpur"
#4,"Indian Institute of Finance - [IIF], Greater Noida"
#5,"Baba Baruadas PG College, Ambedkar Nagar"
#6,"Dayanand Brajendra Swarup College - [DBS], Kanpur"
#7,"Sri Sai Institute of Technology and Management Studies - [SSITMS], Lucknow"
#8,"City Academy Law College, Lucknow"
#9,"IILM University, Greater Noida"
#10,"Inderprastha Engineering College - [IPEC], Ghaziabad"
#1,"Kanpur Institute of Technology - [KIT], Kanpur"
#2,"Kashi Institute of Technology - [KIT], Varanasi"
#3,"Shri Venkateshwara University - [SVU], Amroha"
#4,"Axis Colleges, Kanpur"
#5,"Amity University, Greater Noida"
#6,"IIMT University - [IIMTU], Meerut"
#7,"Pandit Prithi Nath College - [PPN], Kanpur"
#8,"Accurate Institute of Management and Technology - [AIMT], Greater Noida"
#9,"Moradabad Institute of Technology - [MIT], Moradabad"
#1,"United Group of Institutions - [UGI], Greater Noida"
B.Tech Computer Science and Engineering (Artificial Intelligence & Machine Learning),N/A
#2,"Babu Banarasi Das Institute of Technology & Management - [BBDITM], Lucknow"
#3,"Modern College of Engineering - [MCE], Jhansi"
#4,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow"
#5,"CIPET- Institute Of Plastics Technology - [IPT], Lucknow"
#6,"Dronacharya Group of Institutions - [DGI], Greater Noida"
B.Tech Electronics and Computer Engineering,N/A
#7,"Lucknow Institute of Technology - [LIT], Lucknow"
#8,"RD Engineering College, Ghaziabad"
#9,"Rajshree Institute of Management and Technology - [RIMT], Bareilly"
#10,"SRMIST Delhi NCR Campus, Ghaziabad"
#1,"University Institute of Engineering and Technology - [UIET], Kanpur"
#2,"SRM, Institute of Technology, Lucknow"
#3,"Greater Noida Institute of Technology, IPU - [GNIT], Greater Noida"
#4,"Greater Noida Institute of Technology (Engineering Institute), Greater Noida"
B.Tech (Lateral) Computer Science & Engineering,N/A
B.Tech (Lateral) Civil Engineering,N/A
B.Tech (Lateral) Electrical Engineering,N/A
B.Tech {Lateral} Artificial Intelligence,N/A
B.Tech (Lateral) Information Technology,N/A
#5,"Rajiv Gandhi National Aviation University - [RGNAU], Amethi"
#6,"Santosh University, Ghaziabad"
#7,"Birla Institute of Technology - [BIT], Noida"
#8,"Shobhit University, Gangoh"
#9,"Maharishi University of Information Technology - [MUIT], Lucknow"
#10,"Vidya Knowledge Park - [VKP], Meerut"
#1,"IILM Graduate School of Management - [IILM GSM], Greater Noida"
N/A,N/A
MBA,N/A
MBA Entrepreneurship,N/A
MBA Finance,N/A
MBA Human Resource,N/A
MBA Marketing and Innovation,N/A
#2,"Institute of Technology and Science - [I.T.S], Ghaziabad"
#3,"Institute of Hotel Management, Catering & Nutrition - [IHM], Lucknow"
N/A,N/A
B.Sc Hospitality and Hotel Administration,N/A
#4,"GL Bajaj Institute of Management and Research - [GLBIMR], Greater Noida"
N/A,N/A
PGDM Marketing,N/A
PGDM Finance,N/A
PGDM Operation,N/A
PGDM,N/A
PGDIT,N/A
#5,"Sharda University, School of Business Studies - [SBS], Greater Noida"
#6,"I Business Institute - [IBI], Greater Noida"
N/A,N/A
PGDM,N/A
#7,"Lloyd Business School -[LBS], Greater Noida"
#8,"Ajay Kumar Garg Institute of Management - [AKGIM], Ghaziabad"
#9,"Dr Ram Manohar Lohiya National Law University - [RMLNLU], Lucknow"
#10,"Amity School of Communication - [ASCO], Noida"
#1,"IIMT College of Management, Greater Noida"
#2,"Amity School of Fashion Technology - [ASFT], Noida"
#3,"Faculty of Law, Banaras Hindu University, Varanasi"
#4,"Sanskriti University - [SU], Mathura"
#5,"I.T.S Dental College, Ghaziabad"
BDS,N/A
#6,"Dr. Ziauddin Ahmad Dental College, Aligarh"
BDS,N/A
BDS Dental Material,N/A
#7,"ITS Dental College - [ITSDC], Greater Noida"
BDS,N/A
#8,"Era's Lucknow Medical College and Hospital, Lucknow"
M.B.B.S.,N/A
#9,"MNNIT Allahabad - Motilal Nehru National Institute of Technology - [MNNIT], Allahabad"
B.Tech Computer Science Engineering,N/A
B.Tech Electronics & Communication Engineering,N/A
B.Tech Electrical Engineering,N/A
B.Tech Engineering and Computational Mechanics,N/A
B.Tech Mechanical Engineering,N/A
#10,"Vidya Institute of Fashion Technology - [VIFT], Meerut"
#1,"Amity University, Lucknow"
#2,"Institute of Medical Sciences - [IMS BHU], Varanasi"
BAMS,N/A
#3,"Axis Institute of Planning & Management - [AIPM], Kanpur"
#4,"IMS Design and Innovation Academy - [DIA], Noida"
#5,"Lloyd Law College, Greater Noida"
#6,"Shri Ram Murti Smarak Institute of Medical Science - [SRMS IMS], Bareilly"
#7,"KIET School of Management, Ghaziabad"
#8,"Jawahar Lal Nehru Medical College - [JNMC], Aligarh"
#9,"Chaudhary Charan Singh University - [CCS], Meerut"
#10,"Amity School of Architecture and Planning, Noida"
#1,"Amity Law School - [ALS], Noida"
#2,"Institute of Management Studies - [IMS], Noida"
