CD Rank,Colleges
#7,"Abasaheb Garware Institute of Management Studies - [AGIMS], Sangli"
#8,"GH Raisoni College of Engineering - [GHRCE], Nagpur, Nagpur"
B.Tech Artificial Intelligence,N/A
B.Tech Cyber Security,N/A
B.Tech Electronics Engineering,N/A
#9,"Mukesh Patel School of Technology Management and Engineering - [MPSTME], Mumbai"
#10,"Sardar Patel Institute of Technology - [SPIT], Mumbai"
B.Tech Data Science,N/A
B.Tech Computer Engineering,N/A
#1,"Ramdeobaba University - [RBU], Nagpur"
BE Cyber Security,N/A
BE Computer Science & Electronic Engineering,N/A
BE Electronics & Communication Engineering,N/A
#2,"Rajaram Shinde Degree College of Architecture, Ratnagiri"
#3,"Bapuraoji Deshmukh Degree College of Architecture, Wardha"
#4,"Marathwada Institute of Management and Research - [MIMR], Aurangabad"
#5,"Dr Balasaheb Sawant Konkan Krishi Vidyapeeth - [DBSKKV], Ratnagiri"
#6,"DAV Velankar College of Commerce, Solapur"
#7,"Dr. Babasaheb Ambedkar College of Law, Nagpur"
#8,"Yeshwantrao Chavan College of Engineering - [YCCE], Nagpur"
B.Tech Computer Science and Design,N/A
B.Tech Artificial Intelligence and Data Science,N/A
B.Tech Information Technology,N/A
#9,"K. K. Wagh Agriculture and Agriculture Allied Colleges, Nashik"
#10,"Loknete Mohanrao Kadam College of Agriculture - [LMK], Sangli"
#1,"Parle Tilak Vidyalaya Association’s Institute of Management - [PTVA], Mumbai"
#2,"Annasaheb Ramesh Ajmera College of Pharmacy, Dhule"
#3,"Dr. DY Patil Institute of Hotel Management & Catering Technology - [DYPIHMCT ] Thatawade, Pune"
#4,"Ramkrishna Bajaj College of Agriculture, Wardha"
#5,"Vinayakrao Patil Mahavidyalaya, Aurangabad"
#6,"Godavari Institute of Management and Research - [GIMR], Jalgaon"
#7,"Vasantrao Naik Marathwada Krishi Vidyapeeth - [VNMKV], Parbhani"
#8,"Tirpude Institute of Management Education - [TIME], Nagpur"
#9,"Dr Ambedkar College, Nagpur"
#10,"RC Patel Institute of Pharmaceutical Education and Research - [RCPIPER], Shirpur"
B.Pharm,N/A
#1,"Zeal Institute of Management and Computer Application - [ZIMCA] Narhe, Pune"
#2,"Dr. Moonje Institute of Management and Computer Studies - [DMIMCS], Nashik"
#3,"Vivekanand College of Agriculture, Buldhana"
#4,"Shri Shivaji College of Arts Commerce and Science, Akola"
#5,"Kohinoor International Management Institute - [KIMI], Pune"
#6,"GH Raisoni College of Arts, Commerce, Science - [GHRCACS], Nagpur"
#7,"Bombay Teachers' Training College - [BTTC], Mumbai"
B.Ed,N/A
#8,"B.P.H.E. Society's Institute of Management Studies Career Development & Research - [IMSCDR], Ahmednagar"
#9,"Shivaji University - [SUK], Kolhapur"
#10,"Central India College of Law & LLM, Nagpur"
#1,"Dr. D.Y. Patil Institute of Pharmaceutical Sciences and Research - [DYPIPSR] Pimpri, Pune"
#2,"Walchand College of Engineering - [WCE], Sangli"
#3,"MIT World Peace University - [MIT-WPU], Pune"
B.Tech Civil Engineering,N/A
#4,"Vishwakarma Institute of Information Technology - [VIIT], Pune"
#5,"ITM Institute of Hotel Management - [ITM-IHM], Mumbai"
#6,"Ramrao Adik Institute of Technology - [RAIT], Navi Mumbai"
#7,"Sardar Patel College of Engineering - [SPCE], Mumbai"
#8,"SS Girls College, Gondiya"
#9,"Institute of Design Education and Architectural Studies - [IDEAS], Nagpur"
#10,"Pimpri Chinchwad College of Engineering - [PCCOE], Pune"
B.Tech Computer Engineering Regional Language,N/A
#1,"Bharati Vidyapeeth’s College of Pharmacy - [BVCOP], Navi Mumbai"
#2,"Dwarkadas J Sanghvi College of Engineering - [DJSCE], Mumbai"
BE Artificial Intelligence & Machine Learning,N/A
